,Brand,RAM,Processor,Battery,Rear Camera,Front Camera,Display,Launch Date,Operating System,Fabrication,Graphics,Display Type,Pixel Density,Refresh Rate,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,Audio Jack,SIM Slot(s),Fingerprint Sensor,Price
243,Infinix,8,MediaTek,4500,108,60,6.5,2022,Android,6,Mali,AMOLED,350,90,Yes,Yes,128,Yes,Yes,2,Yes,16000
244,Nokia,2,Unisoc,5000,13,8,6.5,2023,Android,28,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,8000
245,vivo,8,MediaTek,4000,50,44,6.5,2022,Android,6,Mali,AMOLED,400,60,Yes,Yes,128,Yes,No,2,Yes,21000
246,realme,8,MediaTek,5000,108,16,6.5,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,24000
247,Samsung,4,Samsung,5000,50,8,6.5,2022,Android,8,Mali,LCD,400,60,Yes,Yes,64,Yes,Yes,2,Yes,12900
248,Tecno,8,MediaTek,5000,64,32,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,40000
249,realme,4,Unisoc,5000,50,8,6.5,2022,Android,12,Mali,LCD,400,60,Yes,Yes,64,Yes,Yes,2,Yes,11500
250,Infinix,6,MediaTek,5000,50,16,6.5,2022,Android,6,Mali,AMOLED,350,60,Yes,Yes,64,Yes,Yes,2,Yes,17000
251,Samsung,3,Unisoc,5000,48,5,6.5,2022,Android,12,Mali,LCD,250,60,No,No,32,Yes,Yes,2,No,8300
252,POCO,6,Qualcomm,6000,48,8,6.5,2021,Android,11,Adreno,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,12300
253,POCO,6,Qualcomm,4000,12,20,6.0,2018,Android,10,Adreno,LCD,400,60,Yes,Yes,64,Yes,Yes,2,Yes,12000
254,iQOO,6,Qualcomm,4500,64,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,19000
255,Lava,6,MediaTek,5000,50,8,6.5,2023,Android,7,Mali,LCD,250,90,No,Yes,128,Yes,Yes,2,Yes,12000
256,OPPO,8,MediaTek,4000,48,16,6.5,2020,Android,12,PowerVR,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,20000
257,Samsung,4,MediaTek,6000,64,20,6.5,2021,Android,12,Mali,AMOLED,400,90,Yes,Yes,64,Yes,Yes,2,Yes,13500
258,Moto,4,MediaTek,5000,50,13,6.5,2021,Android,12,Mali,AMOLED,400,60,No,Yes,64,Yes,Yes,2,Yes,12000
259,realme,3,Unisoc,5000,8,5,6.5,2022,Android,12,Mali,LCD,250,60,No,No,32,Yes,Yes,2,No,7300
260,Xiaomi,4,Qualcomm,5000,48,16,6.5,2020,Android,8,Adreno,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,13000
261,realme,6,MediaTek,5000,64,16,6.5,2020,Android,12,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,18000
262,Moto,3,MediaTek,5000,16,8,6.5,2022,Android,12,PowerVR,LCD,250,90,Yes,Yes,32,Yes,Yes,2,Yes,8500
263,Huawei,8,HiSilicon,4000,40,32,6.5,2019,Android,7,Mali,OLED,350,60,Yes,Yes,256,Yes,No,2,Yes,72000
264,POCO,6,Qualcomm,4500,64,20,6.5,2020,Android,8,Adreno,LCD,350,120,Yes,Yes,64,Yes,Yes,2,Yes,14400
265,OPPO,6,Qualcomm,5000,48,16,6.5,2021,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,15500
266,realme,6,MediaTek,5000,64,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,128,Yes,Yes,2,Yes,13000
267,realme,6,MediaTek,5000,64,16,6.5,2021,Android,6,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,16700
268,vivo,8,Qualcomm,4500,64,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,256,Yes,Yes,2,Yes,26000
269,Samsung,4,Samsung,6000,48,8,6.5,2021,Android,8,Mali,LCD,250,90,Yes,Yes,64,Yes,Yes,2,Yes,11000
270,realme,8,MediaTek,5000,108,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,31500
271,Xiaomi,6,Qualcomm,5000,48,13,6.5,2023,Android,6,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,19000
272,realme,8,Qualcomm,5000,48,16,6.5,2022,Android,6,Adreno,LCD,400,144,Yes,Yes,128,Yes,Yes,2,Yes,18600
273,OPPO,8,MediaTek,4500,64,32,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,256,Yes,Yes,2,Yes,23500
274,Samsung,6,Samsung,3000,12,10,6.0,2019,Android,8,Mali,AMOLED,450,60,Yes,Yes,128,Yes,Yes,2,Yes,29500
275,Moto,4,Qualcomm,5000,50,13,7.0,2021,Android,8,Adreno,LCD,350,120,Yes,Yes,64,Yes,Yes,2,Yes,14000
276,Xiaomi,4,MediaTek,5000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,8700
277,Tecno,8,MediaTek,4500,50,48,6.5,2022,Android,12,Mali,AMOLED,350,90,Yes,Yes,256,Yes,Yes,2,Yes,26000
278,Tecno,12,MediaTek,5000,50,32,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,50000
279,Samsung,8,Samsung,3500,12,10,6.5,2019,Android,7,Mali,AMOLED,400,60,Yes,Yes,256,Yes,No,2,Yes,39100
280,Apple,2,Apple,2000,12,7,4.5,2017,iOS,10,Apple,LCD,300,60,Yes,No,64,No,No,1,Yes,39900
281,realme,6,MediaTek,5000,64,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,11800
282,Xiaomi,2,MediaTek,5000,8,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,6300
283,vivo,12,Qualcomm,4500,50,32,7.0,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,80000
284,Xiaomi,6,Qualcomm,4000,64,20,6.5,2021,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,No,2,Yes,21000
285,Xiaomi,2,MediaTek,5000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,7000
286,OPPO,8,Qualcomm,5000,50,8,6.5,2022,Android,6,Adreno,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,18000
287,vivo,8,MediaTek,5000,50,16,6.5,2022,Android,7,Mali,LCD,400,60,Yes,Yes,128,Yes,Yes,2,Yes,18000
288,OnePlus,12,MediaTek,4500,50,32,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,256,No,No,2,Yes,34000
289,realme,8,Qualcomm,5000,64,16,6.5,2021,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,32000
290,vivo,8,MediaTek,4000,64,44,6.5,2021,Android,7,Mali,AMOLED,400,90,Yes,Yes,128,Yes,No,2,Yes,22500
291,POCO,8,Qualcomm,5000,108,16,6.5,2023,Android,6,Adreno,AMOLED,350,120,Yes,Yes,256,No,Yes,2,Yes,25000
292,realme,4,MediaTek,6000,50,8,6.5,2021,Android,12,Mali,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,11500
293,Infinix,8,MediaTek,5000,48,16,7.0,2022,Android,6,Mali,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
294,Xiaomi,6,MediaTek,5000,48,8,6.5,2021,Android,7,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,13700
295,Xiaomi,4,Qualcomm,4000,48,13,6.5,2019,Android,11,Adreno,LCD,400,60,Yes,Yes,64,Yes,Yes,2,Yes,11000
296,OPPO,6,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,15000
297,Itel,2,Unisoc,6000,13,5,6.5,2023,Android,28,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,6500
298,Nokia,8,Qualcomm,4000,50,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,256,No,No,2,Yes,37000
299,Xiaomi,8,MediaTek,5000,50,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,No,Yes,2,Yes,26900
300,OPPO,8,MediaTek,4000,48,16,6.5,2020,Android,12,Mali,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,20000
301,Moto,4,MediaTek,5000,50,8,6.5,2023,Android,12,Mali,LCD,250,90,No,Yes,128,Yes,Yes,2,Yes,11800
302,Samsung,4,Samsung,5000,50,5,6.5,2022,Android,8,Mali,LCD,250,90,Yes,Yes,64,Yes,Yes,2,Yes,12500
303,vivo,4,MediaTek,5000,13,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,12000
304,Samsung,8,Qualcomm,5000,108,32,6.5,2022,Android,6,Adreno,AMOLED,350,120,Yes,Yes,256,Yes,No,2,Yes,38400
